Learning Rate,Batch Size,Epoch,Train Accuracy,Train Loss,Test Accurracy,Test Loss
0.01,8,60,0.4155937135219574,1.6333560943603516,0.3791722357273102,1.9444633722305298
0.01,8,75,0.416881263256073,1.698478102684021,0.3755006790161133,1.9896914958953857
0.01,8,90,0.521030068397522,1.5751495361328125,0.4215620756149292,2.261763095855713
0.01,8,105,0.4327610731124878,1.5875630378723145,0.36982643604278564,2.0346131324768066
0.01,8,120,0.4699570834636688,1.5697427988052368,0.4115487337112427,1.9890110492706299
0.01,8,135,0.4207439124584198,1.6579914093017578,0.36949265003204346,1.9979106187820435
0.01,16,15,0.5649499297142029,1.795145869255066,0.45193591713905334,2.6758251190185547
0.01,16,30,0.3489270508289337,1.7741475105285645,0.3427903950214386,2.007746934890747
0.01,16,45,0.37696710228919983,1.724001169204712,0.33344459533691406,1.996778964996338
0.01,16,60,0.5330471992492676,1.5895885229110718,0.4529372453689575,2.196043014526367
0.01,16,75,0.5623748302459717,1.726445198059082,0.4399198889732361,2.866868734359741
0.01,16,90,0.5818312168121338,1.7863789796829224,0.4572763741016388,3.1219398975372314
0.01,16,105,0.44506436586380005,1.6087452173233032,0.3825100064277649,1.9690510034561157
0.01,16,120,0.4298998713493347,1.6324737071990967,0.3825100064277649,1.9952263832092285
0.01,16,135,0.5123032927513123,1.594253420829773,0.4355807602405548,2.3036348819732666
0.01,32,15,0.5516452193260193,1.6646041870117188,0.4185580909252167,2.6187455654144287
0.01,32,30,0.43476393818855286,1.6168032884597778,0.3891855776309967,1.9765923023223877
0.01,32,45,0.5653791427612305,1.93528151512146,0.4399198889732361,3.2036378383636475
0.01,32,60,0.5666666626930237,1.7769982814788818,0.43825098872184753,3.043238401412964
0.01,32,75,0.5608011484146118,1.9058256149291992,0.46295058727264404,2.778116226196289
0.01,32,90,0.5597997307777405,2.0466389656066895,0.45927903056144714,3.164879560470581
0.01,32,105,0.4841201603412628,1.623505711555481,0.40954604744911194,2.1452155113220215
0.01,32,120,0.4051502048969269,1.7144123315811157,0.3401201665401459,2.093020439147949
0.01,32,135,0.38998568058013916,1.6678171157836914,0.37650200724601746,1.989113211631775
0.01,64,15,0.5615164637565613,1.7336540222167969,0.4112149477005005,2.7374608516693115
0.01,64,30,0.3845493495464325,1.6930114030838013,0.3384512662887573,1.8998422622680664
0.01,64,45,0.41244634985923767,1.6424732208251953,0.36882510781288147,1.9741708040237427
0.01,64,60,0.5512160062789917,1.6103339195251465,0.4536048173904419,2.6306066513061523
0.01,64,75,0.39985692501068115,1.6945326328277588,0.3614819645881653,2.0208303928375244
0.01,64,90,0.5848354697227478,1.9059613943099976,0.45927903056144714,3.280182123184204
0.01,64,105,0.4745350480079651,1.6167287826538086,0.4035380482673645,2.1194024085998535
0.01,64,120,0.48597997426986694,1.5595288276672363,0.4178905189037323,2.1104352474212646
0.01,64,135,0.41330471634864807,1.6968952417373657,0.35180240869522095,1.9865494966506958
0.01,128,15,0.42746782302856445,1.647804856300354,0.3461281657218933,2.055763006210327
0.01,128,30,0.5902718305587769,1.8681820631027222,0.4532710313796997,3.300452470779419
0.01,128,45,0.5038626790046692,1.5962647199630737,0.4138851761817932,2.2607009410858154
0.01,128,60,0.5417739748954773,1.6368918418884277,0.4332443177700043,2.522541046142578
0.01,128,75,0.5224606394767761,1.7155191898345947,0.4082109332084656,2.4348554611206055
0.01,128,90,0.47811159491539,1.5318528413772583,0.38484644889831543,1.993034839630127
0.01,128,105,0.45064377784729004,1.5752274990081787,0.38818424940109253,1.926245093345642
0.01,128,120,0.5652360320091248,1.8722813129425049,0.41955941915512085,3.146453380584717
0.01,128,135,0.5713877081871033,1.711306095123291,0.4319092035293579,2.882340908050537
0.001,1,15,0.5713877081871033,1.680586576461792,0.44859811663627625,2.9579575061798096
0.001,1,30,0.4138769805431366,1.7064346075057983,0.363484650850296,2.308281898498535
0.001,1,45,0.5729613900184631,1.655574083328247,0.4225634038448334,2.884946584701538
0.001,1,60,0.5403433442115784,1.8525564670562744,0.45226970314979553,2.790847063064575
0.001,1,75,0.5785408020019531,1.94667387008667,0.46929240226745605,3.380326509475708
0.001,1,90,0.5639485120773315,2.003504514694214,0.43357810378074646,3.107815980911255
0.001,1,105,0.4650929868221283,1.5404226779937744,0.4168891906738281,1.880467414855957
0.001,1,120,0.5580829977989197,1.9494991302490234,0.4185580909252167,3.1917314529418945
0.001,1,135,0.5625178813934326,1.8536103963851929,0.4459279179573059,3.0513980388641357
0.001,2,15,0.45665237307548523,1.629844307899475,0.39052069187164307,1.9585742950439453
0.001,2,30,0.4417739510536194,1.6109862327575684,0.3671562075614929,2.0036427974700928
0.001,2,45,0.3629470765590668,1.7992135286331177,0.3184245526790619,2.0590739250183105
0.001,2,60,0.5454935431480408,1.646448016166687,0.4285714328289032,2.79304575920105
0.001,2,75,0.4939914047718048,1.5216435194015503,0.3971962630748749,2.13066029548645
0.001,2,90,0.43991416692733765,1.6982100009918213,0.3511348366737366,2.1000685691833496
0.001,2,105,0.46180257201194763,1.6060010194778442,0.3648197650909424,2.1275734901428223
0.001,2,120,0.4350500702857971,1.6518033742904663,0.3638184368610382,2.0403943061828613
0.001,2,135,0.4155937135219574,1.6492407321929932,0.3778371214866638,2.029020071029663
0.001,4,15,0.47353363037109375,1.5879361629486084,0.4102136194705963,1.971840739250183
0.001,4,30,0.4327610731124878,1.5946791172027588,0.35814419388771057,2.007133960723877
0.001,4,45,0.5602288842201233,1.8374395370483398,0.4259012043476105,2.9922001361846924
0.001,4,60,0.5460658073425293,1.8126916885375977,0.4222296476364136,2.65936541557312
0.001,4,75,0.5628039836883545,1.8267618417739868,0.435247004032135,2.959202766418457
0.001,4,90,0.568955659866333,1.6035000085830688,0.44425901770591736,2.5688090324401855
0.001,4,105,0.5701001286506653,1.9378712177276611,0.45126834511756897,3.0340497493743896
0.001,4,120,0.5486409068107605,1.7302405834197998,0.43724966049194336,2.989199161529541
0.001,4,135,0.39470672607421875,1.733923316001892,0.36515355110168457,2.023333787918091
0.001,8,15,0.5781115889549255,1.753556251525879,0.4682910442352295,2.989875078201294
0.001,8,30,0.5443490743637085,1.6648149490356445,0.45861148834228516,2.3901100158691406
0.001,8,45,0.4379113018512726,1.653954029083252,0.3474632799625397,2.081387758255005
0.001,8,60,0.5349069833755493,1.8139185905456543,0.44893190264701843,2.7300405502319336
0.001,8,75,0.5371959805488586,1.6078152656555176,0.4312416613101959,2.4772469997406006
0.001,8,90,0.5510729551315308,1.8320263624191284,0.44793057441711426,2.717217445373535
0.001,8,105,0.5705293416976929,1.8421283960342407,0.4602803885936737,3.1512701511383057
0.001,8,120,0.4367668032646179,1.7089521884918213,0.36615487933158875,2.227821111679077
0.001,8,135,0.5567954182624817,1.5413787364959717,0.4425901174545288,2.441340684890747
0.001,16,15,0.5881258845329285,1.7762025594711304,0.442923903465271,3.2539916038513184
0.001,16,30,0.40071532130241394,1.6534727811813354,0.3598130941390991,2.170595407485962
0.001,16,45,0.5081545114517212,1.7543781995773315,0.4038718342781067,2.8289952278137207
0.001,16,60,0.5892704129219055,2.077876567840576,0.4422563314437866,3.7153518199920654
0.001,16,75,0.5636623501777649,1.5222162008285522,0.43457943201065063,2.4699184894561768
0.001,16,90,0.3846924304962158,1.7639718055725098,0.3347797095775604,2.044703245162964
0.001,16,105,0.47825464606285095,1.5359903573989868,0.39185580611228943,2.0585036277770996
0.001,16,120,0.4436337649822235,1.6237834692001343,0.3611482083797455,2.1479341983795166
0.001,16,135,0.46137338876724243,1.5807291269302368,0.41622161865234375,2.097791910171509
0.001,32,15,0.5440629720687866,1.7487421035766602,0.44158878922462463,2.7023067474365234
0.001,32,30,0.42618024349212646,1.691526174545288,0.37650200724601746,2.019261598587036
0.001,32,45,0.4251788258552551,1.6093124151229858,0.37383177876472473,1.9741274118423462
0.001,32,60,0.5716738104820251,1.5965557098388672,0.44893190264701843,2.5601885318756104
0.001,32,75,0.5519313216209412,1.7542301416397095,0.4138851761817932,2.8960397243499756
0.001,32,90,0.5539342164993286,1.928501009941101,0.4419225752353668,2.973395586013794
0.001,32,105,0.397138774394989,1.7005937099456787,0.3354472517967224,2.0004591941833496
0.001,32,120,0.5218884348869324,1.5025755167007446,0.42623499035835266,2.2246549129486084
0.001,32,135,0.5715307593345642,1.928208589553833,0.4536048173904419,3.0582120418548584
0.001,64,15,0.5782546401023865,1.8525692224502563,0.4459279179573059,3.283768892288208
0.001,64,30,0.5575107336044312,1.7641853094100952,0.4245660901069641,2.846278429031372
0.001,64,45,0.4000000059604645,1.7306267023086548,0.3240987956523895,2.053281784057617
0.001,64,60,0.39985692501068115,1.7394682168960571,0.36982643604278564,1.9848090410232544
0.001,64,75,0.3846924304962158,1.6455223560333252,0.34045395255088806,1.9806171655654907
0.001,64,90,0.444349080324173,1.6013864278793335,0.3998664915561676,1.9846879243850708
0.001,64,105,0.42861229181289673,1.6364728212356567,0.3674899935722351,1.9665626287460327
0.001,64,120,0.5934191942214966,1.8066033124923706,0.45093458890914917,3.0243866443634033
0.001,64,135,0.49070098996162415,1.581281065940857,0.4068758487701416,2.1946587562561035
0.001,128,15,0.45550787448883057,1.5307554006576538,0.3971962630748749,1.9381370544433594
0.001,128,30,0.37453505396842957,1.7156683206558228,0.3184245526790619,2.0409998893737793
0.001,128,45,0.5738197565078735,1.6661113500595093,0.4148865044116974,2.789336681365967
0.001,128,60,0.41616594791412354,1.6601094007492065,0.35881173610687256,2.020735025405884
0.001,128,75,0.4462088644504547,1.6118991374969482,0.3995327055454254,1.9140129089355469
0.001,128,90,0.4964234530925751,1.5220366716384888,0.40153539180755615,2.098324775695801
0.001,128,105,0.4490700960159302,1.6036863327026367,0.3758344352245331,2.056889057159424
0.001,128,120,0.5373390316963196,1.4845422506332397,0.4355807602405548,2.262014150619507
0.001,128,135,0.553505003452301,1.679714560508728,0.4536048173904419,2.5805585384368896
0.0001,1,15,0.5048640966415405,1.7105679512023926,0.4065420627593994,2.622668981552124
0.0001,1,30,0.5158798098564148,1.7346162796020508,0.4082109332084656,2.526768684387207
0.0001,1,45,0.4477825462818146,1.603023886680603,0.3898531496524811,2.04764461517334
0.0001,1,60,0.43819743394851685,1.6274324655532837,0.36281707882881165,2.0498790740966797
0.0001,1,75,0.5537911057472229,1.6818890571594238,0.44526034593582153,2.6730387210845947
0.0001,1,90,0.4389127194881439,1.6069086790084839,0.37049397826194763,2.005021095275879
0.0001,1,105,0.5652360320091248,1.9650098085403442,0.4425901174545288,3.485668659210205
0.0001,1,120,0.5605150461196899,1.9064761400222778,0.4392523467540741,3.2929508686065674
0.0001,1,135,0.5384835600852966,1.7793115377426147,0.4222296476364136,2.8686656951904297
0.0001,2,15,0.40457797050476074,1.7373943328857422,0.3598130941390991,2.022082567214966
0.0001,2,30,0.3798283338546753,1.7399837970733643,0.35614150762557983,2.063805341720581
0.0001,2,45,0.5482117533683777,1.633263111114502,0.4362483322620392,2.478870153427124
0.0001,2,60,0.49413448572158813,1.5356394052505493,0.40887850522994995,2.0515172481536865
0.0001,2,75,0.43090128898620605,1.5516645908355713,0.3825100064277649,1.94027578830719
0.0001,2,90,0.3898426294326782,1.7263864278793335,0.34412550926208496,2.172239303588867
0.0001,2,105,0.45107296109199524,1.5397379398345947,0.37683579325675964,1.9083055257797241
0.0001,2,120,0.542346179485321,1.6576213836669922,0.420560747385025,2.55403470993042
0.0001,2,135,0.4685264527797699,1.6537526845932007,0.3818424642086029,2.2121353149414062
0.0001,4,15,0.5728183388710022,1.8665881156921387,0.44459280371665955,2.967461585998535
0.0001,4,30,0.4228898286819458,1.6317782402038574,0.35881173610687256,2.0679118633270264
0.0001,4,45,0.5391988754272461,1.685906171798706,0.44158878922462463,2.407418966293335
0.0001,4,60,0.573247492313385,1.683939814567566,0.44392523169517517,2.9435486793518066
0.0001,4,75,0.5855507850646973,1.6945005655288696,0.44092121720314026,3.115618944168091
0.0001,4,90,0.562088668346405,1.8712438344955444,0.4295727610588074,3.0399911403656006
0.0001,4,105,0.544921338558197,1.6481250524520874,0.42323097586631775,2.764993190765381
0.0001,4,120,0.5728183388710022,1.7844234704971313,0.45226970314979553,3.1476809978485107
0.0001,4,135,0.5562231540679932,2.0561981201171875,0.4455941319465637,3.260394811630249
0.0001,8,15,0.4599427878856659,1.6440516710281372,0.3818424642086029,2.1585381031036377
0.0001,8,30,0.4173104465007782,1.662026286125183,0.37750333547592163,1.9806853532791138
0.0001,8,45,0.3954220414161682,1.7269607782363892,0.3614819645881653,2.0499229431152344
0.0001,8,60,0.3919885456562042,1.679945707321167,0.336448609828949,2.058568239212036
0.0001,8,75,0.4663805365562439,1.6224437952041626,0.4005340337753296,2.078327178955078
0.0001,8,90,0.5822603702545166,1.9057621955871582,0.4385847747325897,3.237321376800537
0.0001,8,105,0.5603719353675842,1.733809232711792,0.4495994746685028,2.805976629257202
0.0001,8,120,0.5709584951400757,1.6955897808074951,0.4542723596096039,2.713226795196533
0.0001,8,135,0.5569384694099426,1.834486484527588,0.44125500321388245,2.7981390953063965
0.0001,16,15,0.5429184436798096,1.8771259784698486,0.43090787529945374,2.88865327835083
0.0001,16,30,0.5719599723815918,1.9477921724319458,0.4422563314437866,3.1665890216827393
0.0001,16,45,0.41759657859802246,1.7232437133789062,0.37049397826194763,2.011608839035034
0.0001,16,60,0.5835479497909546,1.5677871704101562,0.4465954601764679,2.731762409210205
0.0001,16,75,0.5638054609298706,1.6391266584396362,0.44392523169517517,2.556110382080078
0.0001,16,90,0.4505007266998291,1.5918716192245483,0.3931909203529358,2.084099769592285
0.0001,16,105,0.5599427819252014,2.1062591075897217,0.4385847747325897,3.412269115447998
0.0001,16,120,0.4642346203327179,1.512131690979004,0.3995327055454254,1.896420955657959
0.0001,16,135,0.44463518261909485,1.6171549558639526,0.38818424940109253,2.048618793487549
0.0001,32,15,0.539484977722168,1.6291401386260986,0.4062082767486572,2.511857271194458
0.0001,32,30,0.5683833956718445,1.691510558128357,0.45527368783950806,2.67545747756958
0.0001,32,45,0.5546494722366333,1.59725022315979,0.4495994746685028,2.415820360183716
0.0001,32,60,0.5051501989364624,1.5801637172698975,0.4148865044116974,2.1797618865966797
0.0001,32,75,0.5685264468193054,1.6707202196121216,0.4469292461872101,2.6275875568389893
0.0001,32,90,0.5459227561950684,1.731767177581787,0.4242323040962219,2.6280691623687744
0.0001,32,105,0.5701001286506653,1.6989147663116455,0.45460614562034607,2.8035128116607666
0.0001,32,120,0.399284690618515,1.690537929534912,0.356475293636322,1.9349457025527954
0.0001,32,135,0.3828326165676117,1.7285246849060059,0.33377838134765625,2.0120949745178223
0.0001,64,15,0.4457796812057495,1.6192454099655151,0.3744993209838867,1.958795189857483
0.0001,64,30,0.567811131477356,1.8271572589874268,0.46528705954551697,2.8369128704071045
0.0001,64,45,0.557939887046814,1.70684015750885,0.4606141448020935,2.7039895057678223
0.0001,64,60,0.535193145275116,1.8864619731903076,0.42656874656677246,2.8581604957580566
0.0001,64,75,0.5557940006256104,1.5944201946258545,0.4459279179573059,2.455434799194336
0.0001,64,90,0.549213171005249,1.8465527296066284,0.44092121720314026,2.801309585571289
0.0001,64,105,0.5487839579582214,1.66854989528656,0.4419225752353668,2.448312520980835
0.0001,64,120,0.5589413642883301,1.8387783765792847,0.4295727610588074,3.243272304534912
0.0001,64,135,0.521030068397522,1.6709709167480469,0.42323097586631775,2.41171932220459
0.0001,128,15,0.40944206714630127,1.6645255088806152,0.3648197650909424,2.01690936088562
0.0001,128,30,0.41788268089294434,1.6847459077835083,0.35847797989845276,2.074714422225952
0.0001,128,45,0.5303290486335754,1.9721918106079102,0.4332443177700043,2.711717128753662
0.0001,128,60,0.5562231540679932,1.8619663715362549,0.4222296476364136,3.2755613327026367
0.0001,128,75,0.3459227383136749,1.715057611465454,0.3461281657218933,1.9875353574752808
0.0001,128,90,0.5626609325408936,1.7780683040618896,0.4385847747325897,2.8931195735931396
0.0001,128,105,0.3927038609981537,1.6440870761871338,0.3457943797111511,1.953084945678711
0.0001,128,120,0.5583691000938416,1.6218595504760742,0.4562750458717346,2.4432778358459473
0.0001,128,135,0.41058656573295593,1.6594964265823364,0.35580775141716003,1.9650671482086182
1e-05,1,15,0.44248926639556885,1.5812535285949707,0.3815086781978607,1.932289481163025
1e-05,1,30,0.4324749708175659,1.5745536088943481,0.38351133465766907,1.8738206624984741
1e-05,1,45,0.4027181565761566,1.6812148094177246,0.3431241512298584,2.0276622772216797
1e-05,1,60,0.39513590931892395,1.7395483255386353,0.3528037369251251,2.1364665031433105
1e-05,1,75,0.5473533868789673,2.04371976852417,0.43457943201065063,3.1588149070739746
1e-05,1,90,0.3997138738632202,1.6829662322998047,0.3471294939517975,2.074270725250244
1e-05,1,105,0.5221745371818542,1.7193968296051025,0.4035380482673645,2.612934112548828
1e-05,1,120,0.5563662648200989,1.6565474271774292,0.42723631858825684,2.6101291179656982
1e-05,1,135,0.49856939911842346,1.5244179964065552,0.3828437924385071,2.063051700592041
1e-05,2,15,0.5517882704734802,1.6900228261947632,0.42990654706954956,2.59379243850708
